asset,benchmark,hypothesis,metric,value
PAXG,spot,H2,weekday_rows,2473
PAXG,spot,H2,selected_diff_lags,2
PAXG,spot,H2,vecm_rows,2470
PAXG,spot,H1,long_run_gold_beta,0.9982164389848205
PAXG,spot,H1,engle_granger_residual_adf_stat,-16.388549988675663
PAXG,spot,H1,engle_granger_crit_5pct,-3.34
PAXG,spot,H1,cointegration_supported,True
PAXG,spot,H2,token_adjustment_alpha,-0.11586305006008014
PAXG,spot,H2,token_adjustment_t_stat_hac,-3.4512980833566127
PAXG,spot,H2,gold_adjustment_alpha,0.1876353357888862
PAXG,spot,H2,gold_adjustment_t_stat_hac,6.384216369673274
PAXG,spot,H2,token_gonzalo_granger_share,0.6182416267685242
PAXG,spot,H2,gold_gonzalo_granger_share,0.3817583732314758
PAXG,spot,H2,token_gg_share_ci_lower,0.4620624369541624
PAXG,spot,H2,token_gg_share_ci_upper,0.7988471110814639
PAXG,spot,H2,token_gg_bootstrap_reps,1000
PAXG,spot,H2,token_gg_share_ci_excludes_0_5,False
PAXG,spot,H2,token_majority_price_discovery_share,True
PAXG,spot,H2,residual_diagnostic_lags,5
PAXG,spot,H2,token_resid_durbin_watson,2.0004643905449666
PAXG,spot,H2,gold_resid_durbin_watson,2.0137765551229885
PAXG,spot,H2,token_resid_ljung_box_q,1.1145101295666204
PAXG,spot,H2,token_resid_ljung_box_p,0.9528112897018707
PAXG,spot,H2,gold_resid_ljung_box_q,3.997829425237863
PAXG,spot,H2,gold_resid_ljung_box_p,0.5497285042071832
PAXG,spot,H2,vecm_residual_cross_correlation,0.49244780360220286
PAXG,futures,H2,weekday_rows,1702
PAXG,futures,H2,selected_diff_lags,1
PAXG,futures,H2,vecm_rows,1700
PAXG,futures,H1,long_run_gold_beta,0.9986549201424355
PAXG,futures,H1,engle_granger_residual_adf_stat,-15.477733270509455
PAXG,futures,H1,engle_granger_crit_5pct,-3.34
PAXG,futures,H1,cointegration_supported,True
PAXG,futures,H2,token_adjustment_alpha,-0.23538617577779858
PAXG,futures,H2,token_adjustment_t_stat_hac,-4.441752292518621
PAXG,futures,H2,gold_adjustment_alpha,0.09358822009978149
PAXG,futures,H2,gold_adjustment_t_stat_hac,2.0285003593942825
PAXG,futures,H2,token_gonzalo_granger_share,0.28448481484439936
PAXG,futures,H2,gold_gonzalo_granger_share,0.7155151851556008
PAXG,futures,H2,token_gg_share_ci_lower,-0.002191785277654222
PAXG,futures,H2,token_gg_share_ci_upper,0.5485965257296974
PAXG,futures,H2,token_gg_bootstrap_reps,1000
PAXG,futures,H2,token_gg_share_ci_excludes_0_5,False
PAXG,futures,H2,token_majority_price_discovery_share,False
PAXG,futures,H2,residual_diagnostic_lags,5
PAXG,futures,H2,token_resid_durbin_watson,2.0003860005761465
PAXG,futures,H2,gold_resid_durbin_watson,1.9963977204455503
PAXG,futures,H2,token_resid_ljung_box_q,4.0813999474710325
PAXG,futures,H2,token_resid_ljung_box_p,0.5377569335715615
PAXG,futures,H2,gold_resid_ljung_box_q,4.279160360569355
PAXG,futures,H2,gold_resid_ljung_box_p,0.5099627902874337
PAXG,futures,H2,vecm_residual_cross_correlation,0.7964230834427828
XAUT,spot,H2,weekday_rows,2339
XAUT,spot,H2,selected_diff_lags,1
XAUT,spot,H2,vecm_rows,2337
XAUT,spot,H1,long_run_gold_beta,0.9982819107820544
XAUT,spot,H1,engle_granger_residual_adf_stat,-13.228249907737183
XAUT,spot,H1,engle_granger_crit_5pct,-3.34
XAUT,spot,H1,cointegration_supported,True
XAUT,spot,H2,token_adjustment_alpha,-0.11362333676034497
XAUT,spot,H2,token_adjustment_t_stat_hac,-2.480934699024961
XAUT,spot,H2,gold_adjustment_alpha,0.45822586154044176
XAUT,spot,H2,gold_adjustment_t_stat_hac,9.042153790079908
XAUT,spot,H2,token_gonzalo_granger_share,0.8013054191595101
XAUT,spot,H2,gold_gonzalo_granger_share,0.19869458084048983
XAUT,spot,H2,token_gg_share_ci_lower,0.6678466641205153
XAUT,spot,H2,token_gg_share_ci_upper,0.9328007628766453
XAUT,spot,H2,token_gg_bootstrap_reps,1000
XAUT,spot,H2,token_gg_share_ci_excludes_0_5,True
XAUT,spot,H2,token_majority_price_discovery_share,True
XAUT,spot,H2,residual_diagnostic_lags,5
XAUT,spot,H2,token_resid_durbin_watson,2.0001089422540437
XAUT,spot,H2,gold_resid_durbin_watson,2.067471120197835
XAUT,spot,H2,token_resid_ljung_box_q,3.902468012503489
XAUT,spot,H2,token_resid_ljung_box_p,0.5635420229674614
XAUT,spot,H2,gold_resid_ljung_box_q,43.3560301655787
XAUT,spot,H2,gold_resid_ljung_box_p,3.1292571045342104e-08
XAUT,spot,H2,vecm_residual_cross_correlation,0.5349907940224349
XAUT,futures,H2,weekday_rows,1610
XAUT,futures,H2,selected_diff_lags,1
XAUT,futures,H2,vecm_rows,1608
XAUT,futures,H1,long_run_gold_beta,0.9991005078355548
XAUT,futures,H1,engle_granger_residual_adf_stat,-16.025310635285702
XAUT,futures,H1,engle_granger_crit_5pct,-3.34
XAUT,futures,H1,cointegration_supported,True
XAUT,futures,H2,token_adjustment_alpha,-0.23938839223179556
XAUT,futures,H2,token_adjustment_t_stat_hac,-2.62520575273065
