asset,hypothesis,metric,value
PAXG,H4,n_weekends,350.0
PAXG,H4,baseline_weekend_beta,0.6076647825656656
PAXG,H4,baseline_weekend_t,4.493752364471894
PAXG,H4,momentum_5_t,2.3332131163497905
PAXG,H4,momentum_20_t,-1.4087190135735692
PAXG,H4,weekend_rv_beta,0.3942019755468353
PAXG,H4,weekend_rv_t,1.91688016962652
PAXG,H4,weekend_range_t,1.5396751836907856
PAXG,H4,highvol_interaction_t,0.4264184061819222
XAUT,H4,n_weekends,331.0
XAUT,H4,baseline_weekend_beta,0.8480228336218456
XAUT,H4,baseline_weekend_t,7.200589179417517
XAUT,H4,momentum_5_t,-0.2488000669628235
XAUT,H4,momentum_20_t,0.3667509911029561
XAUT,H4,weekend_rv_beta,0.5422797126858071
XAUT,H4,weekend_rv_t,3.091104295556244
XAUT,H4,weekend_range_t,3.234231856644622
XAUT,H4,highvol_interaction_t,0.2213235479234085
